NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(�g),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(�g),Folic_Acid_(�g),Food_Folate_(�g),Folate_DFE_(�g),Choline_Tot_(mg),Vit_B12_(�g),Vit_A_IU,Vit_A_RAE,Retinol_(�g),Alpha_Carot_(�g),Beta_Carot_(�g),Beta_Crypt_(�g),Lycopene_(�g),Lut+Zea_(�g),Vit_E_(mg),Vit_D_�g,Vit_D_IU,Vit_K_(�g),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
11156,"CHIVES,RAW",90.65,30,3.27,0.73,1,4.35,2.5,1.85,92,1.6,42,58,296,3,0.56,0.157,0.373,0.9,58.1,0.078,0.115,0.647,0.324,0.138,105,0,105,105,5.2,0.0,4353,218,0,0,2612,0,0,323,0.21,0,0,212.7,0.146,0.095,0.267,0,3,"1 tbsp, chopped",1,"1 tsp, chopped",0
11203,"CRESS,GARDEN,RAW",89.4,32,2.6,0.7,1.8,5.5,1.1,4.4,81,1.3,38,76,606,14,0.23,0.17,0.553,0.9,69,0.08,0.26,1.0,0.242,0.247,80,0,80,80,19.5,0.0,6917,346,0,0,4150,0,0,12500,0.7,0,0,541.9,0.023,0.239,0.228,0,50,1 cup,1,1 sprig,29
11207,"DANDELION GREENS,RAW",85.6,45,2.7,0.7,1.8,9.2,3.5,0.71,187,3.1,36,66,397,76,0.41,0.171,0.342,0.5,35,0.19,0.26,0.806,0.084,0.251,27,0,27,27,35.3,0.0,10161,508,0,363,5854,121,0,13610,3.44,0,0,778.4,0.17,0.014,0.306,0,55,"1 cup, chopped",,,0
11209,"EGGPLANT,RAW",92.3,25,0.98,0.18,0.66,5.88,3,3.53,9,0.23,14,24,229,2,0.16,0.081,0.232,0.3,2.2,0.039,0.037,0.649,0.281,0.084,22,0,22,22,6.9,0.0,23,1,0,0,14,0,0,36,0.3,0,0,3.5,0.034,0.016,0.076,0,82,"1 cup, cubes",458,"1 eggplant, peeled (yield from 1-1/4 lb)",19
11213,"ENDIVE,RAW",93.79,17,1.25,0.2,1.41,3.35,3.1,0.25,52,0.83,15,28,314,22,0.79,0.099,0.42,0.2,6.5,0.08,0.075,0.4,0.9,0.02,142,0,142,142,16.8,0.0,2167,108,0,0,1300,0,0,0,0.44,0,0,231,0.048,0.004,0.087,0,25,".5 cup, chopped",513,1 head,14
11215,"GARLIC,RAW",58.58,149,6.36,0.5,1.5,33.06,2.1,1,181,1.7,25,153,401,17,1.16,0.299,1.672,14.2,31.2,0.2,0.11,0.7,0.596,1.235,3,0,3,3,23.2,0.0,9,0,0,0,5,0,0,16,0.08,0,0,1.7,0.089,0.011,0.249,0,136,1 cup,2.8,1 tsp,13
11216,"GINGER ROOT,RAW",78.89,80,1.82,0.75,0.77,17.77,2,1.7,16,0.6,43,34,415,13,0.34,0.226,0.229,0.7,5,0.025,0.034,0.75,0.203,0.16,11,0,11,11,28.8,0.0,0,0,0,0,0,0,0,0,0.26,0,0,0.1,0.203,0.154,0.154,0,2,1 tsp,24,".25 cup, slices (1"" dia)",7
11226,"JERUSALEM-ARTICHOKES,RAW",78.01,73,2.0,0.01,2.54,17.44,1.6,9.6,14,3.4,17,78,429,4,0.12,0.14,0.06,0.7,4,0.2,0.06,1.3,0.397,0.077,13,0,13,13,30,0.0,20,1,0,0,12,0,0,0,0.19,0,0,0.1,0.0,0.004,0.001,0,150,"1 cup, slices",,,31
11233,"KALE,RAW",84.04,49,4.28,0.93,2.01,8.75,3.6,2.26,150,1.47,47,92,491,38,0.56,1.499,0.659,0.9,120,0.11,0.13,1.0,0.091,0.271,141,0,141,141,0.8,0.0,9990,500,0,54,5927,81,0,8198,1.54,0,0,704.8,0.091,0.052,0.338,0,16,"1 cup, 1"" pieces, loosely packed",,,28
11238,"MUSHROOMS,SHIITAKE,RAW",89.74,34,2.24,0.49,0.73,6.79,2.5,2.38,2,0.41,20,112,304,9,1.03,0.142,0.23,5.7,,0.015,0.217,3.877,1.5,0.293,13,0,13,13,,,,,,,,,,,,0.4,18,,,,,,19,"1 piece, whole",,,0
11241,"KOHLRABI,RAW",91.0,27,1.7,0.1,1,6.2,3.6,2.6,24,0.4,19,46,350,20,0.03,0.129,0.139,0.7,62,0.05,0.02,0.4,0.165,0.15,16,0,16,16,12.3,0.0,36,2,0,0,22,0,0,0,0.48,0,0,0.1,0.013,0.007,0.048,0,135,1 cup,16,1 slice,54
11243,"MUSHROOMS,PORTABELLA,GRILLED",90.66,29,3.28,0.58,1.05,4.44,2.2,2.26,3,0.4,13,135,437,11,0.65,0.389,0.067,21.9,0,0.072,0.403,6.255,1.262,0.122,19,0,19,19,32.8,0.0,0,0,0,0,0,0,0,0,0,0.3,14,0,0.064,0.009,0.232,0,121,"1 cup, sliced",,,0
11246,"LEEKS,(BULB&LOWER LEAF-PORTION),RAW",83.0,61,1.5,0.3,1.05,14.15,1.8,3.9,59,2.1,28,35,180,20,0.12,0.12,0.481,1,12,0.06,0.03,0.4,0.14,0.233,64,0,64,64,9.5,0.0,1667,83,0,0,1000,0,0,1900,0.92,0,0,47,0.04,0.004,0.166,0,89,1 cup,89,1 leek,56
11248,"LENTILS,SPROUTED,RAW",67.34,106,8.96,0.55,1,22.14,,,25,3.21,37,173,322,11,1.51,0.352,0.506,0.6,16.5,0.228,0.128,1.128,0.578,0.19,100,0,100,100,,0.0,45,2,0,,,,,,,0,0,,0.057,0.104,0.219,0,77,1 cup,,,0
11250,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",95.63,13,1.35,0.22,0.57,2.23,1.1,0.94,35,1.24,13,33,238,5,0.2,0.016,0.179,0.6,3.7,0.057,0.062,0.357,0.15,0.082,73,0,73,73,8.4,0.0,3312,166,0,0,1987,0,0,1223,0.18,0,0,102.3,0.029,0.008,0.117,0,55,"1 cup, shredded or chopped",163,"1 head,  (5"" dia)",26
11251,"LETTUCE,COS OR ROMAINE,RAW",94.61,17,1.23,0.3,0.58,3.29,2.1,1.19,33,0.97,14,30,247,8,0.23,0.048,0.155,0.4,4,0.072,0.067,0.313,0.142,0.074,136,0,136,136,9.9,0.0,8710,436,0,0,5226,0,0,2312,0.13,0,0,102.5,0.039,0.012,0.16,0,47,"1 cup, shredded",6,"1 leaf, inner",6
11252,"LETTUCE,ICEBERG (INCL CRISPHEAD TYPES),RAW",95.64,14,0.9,0.14,0.36,2.97,1.2,1.97,18,0.41,7,20,141,10,0.15,0.025,0.125,0.1,2.8,0.041,0.025,0.123,0.091,0.042,29,0,29,29,6.7,0.0,502,25,0,4,299,0,0,277,0.18,0,0,24.1,0.018,0.006,0.074,0,72,"1 cup, shredded",57,"1 cup, chopped (1/2"" pieces, loosely packed)",5
11253,"LETTUCE,GRN LEAF,RAW",94.98,15,1.36,0.15,0.62,2.87,1.3,0.78,36,0.86,13,29,194,28,0.18,0.029,0.25,0.6,9.2,0.07,0.08,0.375,0.134,0.09,38,0,38,38,13.6,0.0,7405,370,0,0,4443,0,0,1730,0.22,0,0,126.3,0.02,0.006,0.082,0,36,"1 cup, shredded",360,1 head,36
11257,"LETTUCE,RED LEAF,RAW",95.64,16,1.33,0.22,0.55,2.26,0.9,0.48,33,1.2,12,28,187,25,0.2,0.028,0.203,1.5,3.7,0.064,0.077,0.321,0.144,0.1,36,0,36,36,11.8,0.0,7492,375,0,0,4495,0,0,1724,0.15,0,0,140.3,0.017,0.005,0.072,0,28,"1 cup, shredded",2.6,"1 leaf, inner",20
11260,"MUSHROOMS,WHITE,RAW",92.45,22,3.09,0.34,0.85,3.26,1,1.98,3,0.5,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17,17,17.3,0.04,0,0,0,0,0,0,0,0,0.01,0.2,7,0,0.05,0.0,0.16,0,70,"1 cup, pieces or slices",96,"1 cup, whole",3
11265,"MUSHROOMS,PORTABELLA,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.5,3,0.31,,108,364,9,0.53,0.286,0.069,18.6,0,0.059,0.13,4.494,1.14,0.148,28,0,28,28,21.2,0.05,0,0,0,0,0,0,0,0,0.02,0.3,10,0,0.06,0.02,0.117,0,86,"1 cup, diced",84,"1 piece, whole",3
11266,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",92.12,22,2.5,0.1,0.98,4.3,0.6,1.72,18,0.4,9,120,448,6,1.1,0.5,0.142,26,0,0.095,0.49,3.8,1.5,0.11,25,0,25,25,22.1,0.1,0,0,0,0,0,0,0,0,0.01,0.1,3,0,0.014,0.002,0.042,0,87,"1 cup, whole",72,"1 cup, sliced",3
11278,"OKRA,RAW",89.58,33,1.93,0.19,0.86,7.45,3.2,1.48,82,0.62,57,61,299,7,0.58,0.109,0.788,0.7,23,0.2,0.06,1.0,0.245,0.215,60,0,60,60,12.3,0.0,716,36,0,27,416,0,0,280,0.27,0,0,31.3,0.026,0.017,0.027,0,100,1 cup,95,"8 pods,  (3"" long)",14
11282,"ONIONS,RAW",89.11,40,1.1,0.1,0.35,9.34,1.7,4.24,23,0.21,10,29,146,4,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,0,19,19,6.1,0.0,2,0,0,0,1,0,0,4,0.02,0,0,0.4,0.042,0.013,0.017,0,160,"1 cup, chopped",115,"1 cup, sliced",10
11291,"ONIONS,SPRING OR SCALLIONS (INCL TOPS&BULB),RAW",89.83,32,1.83,0.19,0.81,7.34,2.6,2.33,72,1.48,20,37,276,16,0.39,0.083,0.16,0.6,18.8,0.055,0.08,0.525,0.075,0.061,64,0,64,64,5.7,0.0,997,50,0,0,598,0,0,1137,0.55,0,0,207,0.032,0.027,0.074,0,100,"1 cup, chopped",6,"1 tbsp, chopped",4
11292,"ONIONS,YOUNG GRN,TOPS ONLY",92.32,27,0.97,0.47,0.51,5.74,1.8,3.91,52,0.51,16,25,159,15,0.2,0.031,0.15,0.5,13.4,0.03,0.026,0.33,0.138,0.088,30,0,30,30,4.3,0.0,4000,200,0,0,2400,0,0,858,0.21,0,0,156.3,0.087,0.022,0.064,0,6,1 tbsp,12,1 stalk,0
11293,"ONIONS,WELSH,RAW",90.5,34,1.9,0.4,0.7,6.5,2.4,2.18,18,1.22,23,49,212,17,0.52,0.07,0.137,0.6,27,0.05,0.09,0.4,0.169,0.072,16,0,16,16,5.3,0.0,1160,,0,,,,,,0.51,0,0,193.4,0.067,0.056,0.156,0,,,,,35
11294,"ONIONS,SWT,RAW",91.24,32,0.8,0.08,0.34,7.55,0.9,5.02,20,0.26,9,27,119,8,0.13,0.056,0.076,0.5,4.8,0.041,0.02,0.133,0.098,0.13,23,,23,,5.5,,1,0,,0,1,0,0,6,0.02,0,0,0.3,,,,0,148,1 NLEA serving,331,1 onion,16
11297,"PARSLEY,FRSH",87.71,36,2.97,0.79,2.2,6.33,3.3,0.85,138,6.2,50,58,554,56,1.07,0.149,0.16,0.1,133,0.086,0.098,1.313,0.4,0.09,152,0,152,152,12.8,0.0,8424,421,0,0,5054,0,0,5561,0.75,0,0,1640,0.132,0.295,0.124,0,60,"1 cup, chopped",3.8,1 tbsp,5
11298,"PARSNIPS,RAW",79.53,75,1.2,0.3,0.98,17.99,4.9,4.8,36,0.59,29,71,375,10,0.59,0.12,0.56,1.8,17,0.09,0.05,0.7,0.6,0.09,67,0,67,67,,0.0,0,0,0,0,0,0,0,0,1.49,0,0,22.5,0.05,0.112,0.047,0,133,"1 cup, slices",,,15
11300,"PEAS,EDIBLE-PODDED,RAW",88.89,42,2.8,0.2,0.56,7.55,2.6,4,43,2.08,24,53,200,4,0.27,0.079,0.244,0.7,60,0.15,0.08,0.6,0.75,0.16,42,0,42,42,17.4,0.0,1087,54,0,44,630,0,0,740,0.39,0,0,25,0.039,0.021,0.089,0,98,"1 cup, chopped",63,"1 cup, whole",6
11304,"PEAS,GREEN,RAW",78.86,81,5.42,0.4,0.87,14.45,5.7,5.67,25,1.47,33,108,244,5,1.24,0.176,0.41,1.8,40,0.266,0.132,2.09,0.104,0.169,65,0,65,65,28.4,0.0,765,38,0,21,449,0,0,2477,0.13,0,0,24.8,0.071,0.035,0.187,0,145,1 cup,,,62
11316,"PEAS,MATURE SEEDS,SPROUTED,RAW",62.27,124,8.8,0.68,1.14,27.11,,,36,2.26,56,165,381,20,1.05,0.272,0.438,0.6,10.4,0.225,0.155,3.088,1.029,0.265,144,0,144,144,,0.0,166,,,,,,,,,0,0,,0.124,0.061,0.326,0,120,1 cup,,,0
11333,"PEPPERS,SWT,GRN,RAW",93.89,20,0.86,0.17,0.43,4.64,1.7,2.4,10,0.34,10,20,175,3,0.13,0.066,0.122,0,80.4,0.057,0.028,0.48,0.099,0.224,10,0,10,10,5.5,0.0,370,18,0,21,208,7,0,341,0.37,0,0,7.4,0.058,0.008,0.062,0,149,"1 cup, chopped",92,"1 cup, sliced",18
11352,"POTATOES,FLESH & SKN,RAW",79.25,77,2.05,0.09,1.11,17.49,2.1,0.82,12,0.81,23,57,425,6,0.3,0.11,0.153,0.4,19.7,0.081,0.032,1.061,0.295,0.298,15,0,15,15,12.1,0.0,2,0,0,0,1,0,0,9,0.01,0,0,2,0.025,0.002,0.042,0,75,".5 cup, diced",369,"1 Potato, large (3"" to 4-1/4"" dia)",25
11353,"POTATOES,RUSSET,FLESH & SKN,RAW",78.58,79,2.14,0.08,1.13,18.07,1.3,0.62,13,0.86,23,55,417,5,0.29,0.103,0.157,0.4,5.7,0.082,0.033,1.035,0.301,0.345,14,0,14,14,12.6,0.0,1,0,0,0,0,0,0,5,0.01,0,0,1.8,0.026,0.002,0.043,0,75,".5 cup, diced",369,"1 potato, large (3"" to 4-1/4"" dia)",25
11354,"POTATOES,WHITE,FLESH & SKN,RAW",81.58,69,1.68,0.1,0.94,15.71,2.4,1.15,9,0.52,21,62,407,16,0.29,0.116,0.145,0.3,9.1,0.071,0.034,1.066,0.281,0.203,18,0,18,18,11,0.0,8,0,0,0,5,0,0,13,0.01,0,0,1.6,0.026,0.002,0.043,0,75,".5 cup, diced",369,"1 large,  (3"" to 4-1/4"" dia.)",25
11355,"POTATOES,RED,FLESH & SKN,RAW",80.96,70,1.89,0.14,1.1,15.9,1.7,1.29,10,0.73,22,61,455,18,0.33,0.134,0.141,0.5,8.6,0.081,0.031,1.149,0.279,0.17,18,0,18,18,16.4,0.0,7,0,0,0,4,0,0,21,0.01,0,0,2.9,0.035,0.003,0.059,0,75,".5 cup, diced",369,"1 potato, large (3"" to 4-1/4"" dia)",25
11356,"POTATOES,RUSSET,FLESH & SKN,BKD",74.45,97,2.63,0.13,1.35,21.44,2.3,1.08,18,1.07,30,71,550,14,0.35,0.107,0.228,0.5,8.3,0.067,0.048,1.348,0.38,0.354,26,0,26,26,15,0.0,10,1,0,0,6,0,0,19,0.07,0,0,2,0.032,0.003,0.054,0,299,"1 potato, large (3"" to 4-1/4"" dia.",173,"1 potato, medium (2-1/4"" to 3-1/4"" dia.)",0
11357,"POTATOES,WHITE,FLESH & SKN,BKD",75.43,94,2.1,0.15,1.24,21.08,2.1,1.53,10,0.64,27,75,544,7,0.35,0.127,0.189,0.5,12.6,0.048,0.043,1.528,0.383,0.211,38,0,38,38,14.4,0.0,10,1,0,0,6,0,0,30,0.04,0,0,2.7,0.022,0.002,0.037,0,299,"1 potato, large (3"" to 4-1/4"" dia)",173,"1 potato, medium (2-1/4"" to 3-1/4"" dia)",0
11358,"POTATOES,RED,FLESH & SKN,BKD",76.67,89,2.3,0.15,1.29,19.59,1.8,1.43,9,0.7,28,72,545,12,0.4,0.174,0.173,,12.6,0.072,0.05,1.595,0.341,0.212,27,0,27,27,18.9,0.0,10,1,0,0,6,0,0,27,0.08,0,0,2.8,0.026,0.002,0.043,0,299,"1 potato, large (3"" to 4-1/4"" dia.",173,"1 potato, medium (2-1/4"" to 3-1/4"" dia.)",0
11362,"POTATOES,RAW,SKIN",83.29,58,2.57,0.1,1.61,12.44,2.5,,30,3.24,23,38,413,10,0.35,0.423,0.602,0.3,11.4,0.021,0.038,1.033,0.302,0.239,17,0,17,17,,0.0,0,0,0,,,,,,,0,0,,0.026,0.002,0.043,0,38,1 skin,,,0
11422,"PUMPKIN,RAW",91.6,26,1.0,0.1,0.8,6.5,0.5,2.76,21,0.8,12,44,340,1,0.32,0.127,0.125,0.3,9,0.05,0.11,0.6,0.298,0.061,16,0,16,16,8.2,0.0,8513,426,0,4016,3100,0,0,1500,1.06,0,0,1.1,0.052,0.013,0.005,0,116,"1 cup,  (1"" cubes)",,,30
11429,"RADISHES,RAW",95.27,16,0.68,0.1,0.55,3.4,1.6,1.86,25,0.34,10,20,233,39,0.28,0.05,0.069,0.6,14.8,0.012,0.039,0.254,0.165,0.071,25,0,25,25,6.5,0.0,7,0,0,0,4,0,0,10,0,0,0,1.3,0.032,0.017,0.048,0,116,"1 cup, slices",9,"1 large,  (1"" to 1-1/4"" dia)",10
11430,"RADISHES,ORIENTAL,RAW",94.62,18,0.6,0.1,0.58,4.1,1.6,2.5,27,0.4,16,23,227,21,0.15,0.115,0.038,0.7,22,0.02,0.02,0.2,0.138,0.046,28,0,28,28,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.03,0.017,0.045,0,116,"1 cup, slices",338,"1 radish,  (7"" long)",21
11435,"RUTABAGAS,RAW",89.43,37,1.08,0.16,0.71,8.62,2.3,4.46,43,0.44,20,53,305,12,0.24,0.032,0.131,0.7,25,0.09,0.04,0.7,0.16,0.1,21,0,21,21,14.1,0.0,2,0,0,0,1,1,14,19,0.3,0,0,0.3,0.027,0.025,0.088,0,140,"1 cup, cubes",772,1 large,15
11457,"SPINACH,RAW",91.4,23,2.86,0.39,1.72,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,0,194,194,19.3,0.0,9377,469,0,0,5626,0,0,12198,2.03,0,0,482.9,0.063,0.01,0.165,0,30,1 cup,340,1 bunch,28
11467,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,RAW",94.28,19,1.01,0.27,0.56,3.88,1,2.88,21,0.44,20,32,222,2,0.29,0.092,0.172,0.2,19.3,0.051,0.041,0.448,0.16,0.104,19,0,19,19,7.1,0.0,150,8,0,0,90,0,0,290,0.13,0,0,3.2,0.093,0.013,0.082,0,127,"1 cup, sliced",,,1
11475,"SQUASH,SUMMER,SCALLOP,RAW",94.18,18,1.2,0.2,0.58,3.84,1.2,2.39,19,0.4,23,36,182,1,0.29,0.102,0.157,0.2,18,0.07,0.03,0.6,0.102,0.109,30,0,30,30,7.3,0.0,217,11,0,0,130,0,0,2308,0.13,0,0,3.3,0.041,0.015,0.084,0,130,"1 cup, slices",,,2
11477,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW",94.79,17,1.21,0.32,0.58,3.11,1,2.5,16,0.37,18,38,261,8,0.32,0.053,0.177,0.2,17.9,0.045,0.094,0.451,0.204,0.163,24,0,24,24,9.5,0.0,200,10,0,0,120,0,0,2125,0.12,0,0,4.3,0.084,0.011,0.091,0,124,"1 cup, chopped",113,"1 cup, sliced",5
11485,"SQUASH,WNTR,BUTTERNUT,RAW",86.41,45,1.0,0.1,0.8,11.69,2,2.2,48,0.7,34,33,352,4,0.15,0.072,0.202,0.5,21,0.1,0.02,1.2,0.4,0.154,27,0,27,27,,0.0,10630,532,0,834,4226,3471,0,0,1.44,0,0,1.1,0.021,0.007,0.042,0,140,"1 cup, cubes",,,16
11489,"SQUASH,WINTER,HUBBARD,RAW",88.0,40,2.0,0.5,0.8,8.7,3.9,3.95,14,0.4,19,21,320,7,0.13,0.064,0.179,0.5,11,0.07,0.04,0.5,0.4,0.154,16,0,16,16,11.8,0.0,1367,68,0,0,820,0,0,0,0.16,0,0,1.3,0.103,0.037,0.21,0,116,"1 cup, cubes",,,36
